Individual,Nuchal Crest,L Mastoid ,R Mastoid,L Supra-Orbital Margin,R Supra-Orbital Margin,Glabella,Mental Eminence,L Ventral Arc,R Ventral Arc,L Subpubic Concavity,R Subpubic Concavity,L Ischiopubic Ramus,R Ischiopubic Ramus,L Sciatic Notch,R Sciatic Notch,L Transverse,L Texture,L Micro,L Macro,L Apical,R Transverse,R Texture,R Micro,R Macro,R Apical,L Pubic,R Pubic,L 4th Rib,R 4th Rib,Dental Attrition 
S0258V0246,4,5,,2,2,5,,3,3,3,3,4,4,2,2,5,5,3,3,3,5,5,3,3,2,5,5,,,
S0290V0298,3,3,2,4,4,1,,1,1,1,1,2,2,1,3,5,4,3,3,3,,,,,,5,5,,,
S0438V0687,1,,,1,1,1,1,1,1,1,1,1,1,1,1,4,4,2,1,1,3,4,2,2,1,2,,,,
S0687V1350,3,1,1,3,3,1,4,1,1,1,1,1,1,2,4,,,,,,,,,,,5,5,,,
S0711V1585,4,1,1,2,1,1,2,3,3,1,1,2,2,1,1,3,2,2,2,2,3,4,1,2,1,3,3,,,
S0722V1434,2,3,,1,1,2,4,2,2,1,1,2,2,2,2,2,1,2,2,1,3,1,3,1,1,1,1,,,
S0726V1440,5,1,3,3,3,1,3,2,1,1,1,3,3,4,3,4,4,3,3,2,4,4,3,3,2,4,4,,,
S0754V1506,5,1,1,2,2,3,2,1,1,1,1,1,1,2,1,4,4,3,1,1,4,4,2,1,2,4,4,,,
S0762V1530,1,3,4,2,2,1,4,1,1,1,1,2,2,2,3,4,4,3,2,1,4,4,3,2,1,6,6,,,
S0798V1633,2,4,4,,2,4,3,1,1,2,1,2,1,1,1,4,4,1,2,1,4,3,1,1,1,5,5,,,
S0862V1752,4,2,2,1,1,1,5,2,2,1,2,1,1,1,1,3,2,3,2,1,3,4,3,2,1,6,5,,,
S0905V1840,4,2,,2,2,2,4,1,2,3,3,1,1,2,2,4,3,3,2,2,4,3,3,2,2,,,,,
S1040V2090,5,1,1,1,1,1,4,5,,2,,2,,1,,5,5,3,3,2,,,,,,,,,,
S1269V2481,3,2,2,,2,1,2,1,1,1,1,1,1,2,2,5,4,3,2,2,4,4,3,2,2,3,3,,,
S0571V0974,2,1,1,1,1,1,1,,,,,,,3,2,4,2,3,3,1,5,2,3,3,3,,,,,
S0449V0686,3,2,1,2,2,1,1,2,2,3,,1,1,1,1,4,2,3,3,1,3,4,3,3,1,2,2,,,
S0539V0855,3,4,4,2,2,1,1,,,,,,,2,2,3,4,1,2,1,2,4,1,2,1,,,,,
S0766V1544,4,2,2,1,1,1,1,,2,,2,,1,,4,,,,,,3,4,3,2,1,,5,,,
S1207V2484,3,1,1,2,2,1,2,2,3,1,1,1,1,1,1,4,2,3,2,1,4,4,3,2,1,5,5,,,
S1038V2085,4,1,1,2,2,,3,,,,,,,4,,5,5,3,3,2,,,,,,,,,,
S1267V2470,1,2,1,1,2,1,3,3,,2,,1,,2,,3,4,2,2,2,,,,,,,,,,
S1242V2429,4,3,2,2,3,2,2,4,3,2,2,2,2,3,3,4,3,3,1,1,4,4,3,2,1,2,3,,,
S1280V2496,3,1,1,3,3,1,,,,,2,,5,,4,,,,,,4,4,3,1,1,,,,,
S0852V1726,3,2,2,3,3,1,3,,,,,,,1,1,4,3,3,3,1,4,4,3,2,1,,,,,
S1110V2193,,4,3,2,2,1,2,2,1,1,1,1,1,1,2,4,3,3,3,1,4,3,3,3,1,,1,,,
S1013V2044,2,1,1,4,4,2,4,2,1,1,1,1,1,1,1,3,3,3,2,1,4,3,3,2,1,5,6,,,
S0710V1401,1,1,1,1,1,2,3,1,1,2,3,2,3,3,4,3,3,3,2,2,2,3,3,2,2,4,4,,,
S0504V0755,4,4,4,1,2,2,4,,1,,1,,1,2,1,4,3,2,2,1,3,3,3,2,1,,,,,
S0364V0344,3,1,2,3,2,1,4,1,1,1,1,2,2,3,3,4,5,2,2,2,4,4,3,1,2,2,2,,,
S0357V0395,2,2,3,3,,,5,2,1,1,1,2,2,2,2,4,3,2,2,2,4,4,3,3,3,2,3,,,
S0841V1686,3,3,2,5,5,1,1,1,1,1,1,1,1,1,1,2,3,2,1,1,3,3,3,1,1,5,5,,,
S0390V1902,5,1,1,4,4,1,5,2,,1,,1,,1,1,5,3,2,2,1,4,4,3,3,1,5,,,,
S0992V2006,2,1,1,2,2,1,1,1,,2,,2,,4,3,4,5,3,3,1,4,4,3,2,2,4,,,,
S0840V1685,,1,1,1,2,2,2,3,,1,,1,,1,1,,,,,,4,4,2,2,1,6,,,,
S0642V1252,4,1,1,1,2,2,5,1,2,1,1,1,1,1,1,5,4,3,3,1,4,4,3,3,1,6,6,,,
S0853V1727,2,5,5,1,1,1,2,1,1,1,1,1,1,1,1,4,4,2,1,1,3,4,2,2,1,2,2,,,
S0918V1881,4,1,1,2,1,3,3,,3,,2,,3,3,2,4,4,2,2,2,3,4,2,2,1,,5,,,
S0854V1809,2,1,2,1,1,1,2,1,1,1,1,1,1,2,3,2,5,3,2,1,4,5,3,2,1,,3,,,
S0837V1677,4,1,1,,,,,,1,,1,,1,1,1,4,4,3,2,3,4,4,3,3,3,,,,,
S0911V1856,2,2,2,1,1,1,4,,1,,1,,1,1,1,5,5,3,3,1,4,5,3,3,3,,,,,
S0880V1787,1,1,1,1,1,1,2,,2,,1,,1,2,2,4,4,3,3,1,3,4,3,3,1,,3,,,
S0970V1981,2,2,2,1,1,1,4,,2,,2,,1,1,1,4,4,3,2,2,3,4,3,2,1,,,,,
S0597V1043,5,3,3,2,4,5,4,4,4,3,3,5,5,4,3,4,4,3,2,1,4,4,3,2,1,3,3,,,
S0643V1253,,3,3,2,2,4,4,4,4,3,3,5,5,4,4,3,1,3,2,1,3,4,3,3,1,3,3,,,
S0659V1298,,1,2,2,3,5,1,5,5,5,5,5,5,4,4,4,4,3,2,3,4,4,3,2,3,5,5,,,
