Individual,Population,Nuchal Crest,L Mastoid ,R Mastoid,L Supra-Orbital Margin,R Supra-Orbital Margin,Glabella,Mental Eminence,L Ventral Arc,R Ventral Arc,L Subpubic Concavity,R Subpubic Concavity,L Ischiopubic Ramus,R Ischiopubic Ramus,L Sciatic Notch,R Sciatic Notch,L Transverse,L Texture,L Micro,L Macro,L Apical,R Transverse,R Texture,R Micro,R Macro,R Apical,L Pubic,R Pubic,L 4th Rib,R 4th Rib
S477V1030,MB11,2,5,5,5,5,5,4,1,1,1,1,1,1,3,4,,,,,,4,4,3,3,3,6,6,,
S0258V0246,ARJB,4,5,,2,2,5,,3,3,3,3,4,4,2,2,5,5,3,3,3,5,5,3,3,2,5,5,,
S0290V0298,ARJB,3,3,2,4,4,1,,1,1,1,1,2,2,1,3,5,4,3,3,3,,,,,,5,5,,
S0438V0687,ARJB,1,,,1,1,1,1,1,1,1,1,1,1,1,1,4,4,2,1,1,3,4,2,2,1,2,,,
S0687V1350,ARJB,3,1,1,3,3,1,4,1,1,1,1,1,1,2,4,,,,,,,,,,,5,5,,
S0711V1585,ARJB,4,1,1,2,1,1,2,3,3,1,1,2,2,1,1,3,2,2,2,2,3,4,1,2,1,3,3,,
S0722V1434,ARJB,2,3,,1,1,2,4,2,2,1,1,2,2,2,2,2,1,2,2,1,3,1,3,1,1,1,1,,
S0726V1440,ARJB,5,1,3,3,3,1,3,2,1,1,1,3,3,4,3,4,4,3,3,2,4,4,3,3,2,4,4,,
S0754V1506,ARJB,5,1,1,2,2,3,2,1,1,1,1,1,1,2,1,4,4,3,1,1,4,4,2,1,2,4,4,,
S0762V1530,ARJB,1,3,4,2,2,1,4,1,1,1,1,2,2,2,3,4,4,3,2,1,4,4,3,2,1,6,6,,
S0798V1633,ARJB,2,4,4,,2,4,3,1,1,2,1,2,1,1,1,4,4,1,2,1,4,3,1,1,1,5,5,,
S0862V1752,ARJB,4,2,2,1,1,1,5,2,2,1,2,1,1,1,1,3,2,3,2,1,3,4,3,2,1,6,5,,
S0905V1840,ARJB,4,2,,2,2,2,4,1,2,3,3,1,1,2,2,4,3,3,2,2,4,3,3,2,2,,,,
S1040V2090,ARJB,5,1,1,1,1,1,4,5,,2,,2,,1,,5,5,3,3,2,,,,,,,,,
S1269V2481,ARJB,3,2,2,,2,1,2,1,1,1,1,1,1,2,2,5,4,3,2,2,4,4,3,2,2,3,3,,
S0571V0974,ARJB,2,1,1,1,1,1,1,,,,,,,3,2,4,2,3,3,1,5,2,3,3,3,,,,
S0449V0686,ARJB,3,2,1,2,2,1,1,2,2,3,,1,1,1,1,4,2,3,3,1,3,4,3,3,1,2,2,,
S0539V0855,ARJB,3,4,4,2,2,1,1,,,,,,,2,2,3,4,1,2,1,2,4,1,2,1,,,,
S0766V1544,ARJB,4,2,2,1,1,1,1,,2,,2,,1,,4,,,,,,3,4,3,2,1,,5,,
S1207V2484,ARJB,3,1,1,2,2,1,2,2,3,1,1,1,1,1,1,4,2,3,2,1,4,4,3,2,1,5,5,,
S1038V2085,ARJB,4,1,1,2,2,,3,,,,,,,4,,5,5,3,3,2,,,,,,,,,
S1267V2470,ARJB,1,2,1,1,2,1,3,3,,2,,1,,2,,3,4,2,2,2,,,,,,,,,
S1242V2429,ARJB,4,3,2,2,3,2,2,4,3,2,2,2,2,3,3,4,3,3,1,1,4,4,3,2,1,2,3,,
S1280V2496,ARJB,3,1,1,3,3,1,,,,,2,,5,,4,,,,,,4,4,3,1,1,,,,
S0852V1726,ARJB,3,2,2,3,3,1,3,,,,,,,1,1,4,3,3,3,1,4,4,3,2,1,,,,
S1110V2193,ARJB,,4,3,2,2,1,2,2,1,1,1,1,1,1,2,4,3,3,3,1,4,3,3,3,1,,1,,
S1013V2044,ARJB,2,1,1,4,4,2,4,2,1,1,1,1,1,1,1,3,3,3,2,1,4,3,3,2,1,5,6,,
S0710V1401,ARJB,1,1,1,1,1,2,3,1,1,2,3,2,3,3,4,3,3,3,2,2,2,3,3,2,2,4,4,,
S0504V0755,ARJB,4,4,4,1,2,2,4,,1,,1,,1,2,1,4,3,2,2,1,3,3,3,2,1,,,,
S0364V0344,ARJB,3,1,2,3,2,1,4,1,1,1,1,2,2,3,3,4,5,2,2,2,4,4,3,1,2,2,2,,
S0357V0395,ARJB,2,2,3,3,,,5,2,1,1,1,2,2,2,2,4,3,2,2,2,4,4,3,3,3,2,3,,
S0841V1686,ARJB,3,3,2,5,5,1,1,1,1,1,1,1,1,1,1,2,3,2,1,1,3,3,3,1,1,5,5,,
S0390V1902,ARJB,5,1,1,4,4,1,5,2,,1,,1,,1,1,5,3,2,2,1,4,4,3,3,1,5,,,
S0992V2006,ARJB,2,1,1,2,2,1,1,1,,2,,2,,4,3,4,5,3,3,1,4,4,3,2,2,4,,,
S0840V1685,ARJB,,1,1,1,2,2,2,3,,1,,1,,1,1,,,,,,4,4,2,2,1,6,,,
S0642V1252,ARJB,4,1,1,1,2,2,5,1,2,1,1,1,1,1,1,5,4,3,3,1,4,4,3,3,1,6,6,,
S0853V1727,ARJB,2,5,5,1,1,1,2,1,1,1,1,1,1,1,1,4,4,2,1,1,3,4,2,2,1,2,2,,
S0918V1881,ARJB,4,1,1,2,1,3,3,,3,,2,,3,3,2,4,4,2,2,2,3,4,2,2,1,,5,,
S0854V1809,ARJB,2,1,2,1,1,1,2,1,1,1,1,1,1,2,3,2,5,3,2,1,4,5,3,2,1,,3,,
S0837V1677,ARJB,4,1,1,,,,,,1,,1,,1,1,1,4,4,3,2,3,4,4,3,3,3,,,,
S0911V1856,ARJB,2,2,2,1,1,1,4,,1,,1,,1,1,1,5,5,3,3,1,4,5,3,3,3,,,,
S0880V1787,ARJB,1,1,1,1,1,1,2,,2,,1,,1,2,2,4,4,3,3,1,3,4,3,3,1,,3,,
S0970V1981,ARJB,2,2,2,1,1,1,4,,2,,2,,1,1,1,4,4,3,2,2,3,4,3,2,1,,,,
S0597V1043,ARJB,5,3,3,2,4,5,4,4,4,3,3,5,5,4,3,4,4,3,2,1,4,4,3,2,1,3,3,,
S0643V1253,ARJB,,3,3,2,2,4,4,4,4,3,3,5,5,4,4,3,1,3,2,1,3,4,3,3,1,3,3,,
S0659V1298,ARJB,,1,2,2,3,5,1,5,5,5,5,5,5,4,4,4,4,3,2,3,4,4,3,2,3,5,5,,
S0697V1375,ARJB,4,5,4,5,5,5,4,4,4,5,5,5,5,4,4,4,4,3,3,2,4,3,3,2,1,4,4,,
S0750V1495,ARJB,5,1,1,2,2,3,4,4,4,5,5,4,4,4,4,2,5,2,2,2,3,5,3,2,2,6,6,,
S0752V1500,ARJB,5,2,3,3,3,4,3,,4,,2,,3,3,3,1,2,2,3,1,2,2,3,3,1,,4,,
S0773V1561,ARJB,4,3,3,4,4,4,4,2,2,3,3,1,1,5,5,5,5,3,3,3,5,5,3,3,3,6,6,,
S0782V1596,ARJB,5,,5,4,4,5,2,,4,,5,,4,,5,,,,,,4,5,3,2,1,,3,,
S0790V1621,ARJB,1,4,4,,1,2,5,1,2,1,1,5,5,4,3,4,4,3,2,1,4,4,3,2,2,4,,,
S0807V1659,ARJB,5,5,4,5,5,4,2,3,3,5,,2,,3,4,4,3,3,2,2,4,3,2,2,2,3,,,
S0893V1822,ARJB,4,1,1,3,4,5,3,2,2,5,5,2,2,4,4,3,4,3,3,1,4,4,3,3,1,4,4,,
S0902V1837,ARJB,4,3,4,4,3,5,5,4,4,4,4,5,5,5,5,3,3,3,3,2,4,4,3,3,1,6,6,,
S1021V2062,ARJB,5,4,4,2,2,5,2,,,,,,,4,5,2,4,3,2,1,1,5,3,2,2,,,,
S1022V2064,ARJB,3,2,3,2,2,2,1,2,2,5,5,5,5,5,5,4,5,3,3,2,4,5,3,3,2,2,2,,
S1045V2101,ARJB,4,2,3,4,4,1,5,2,2,1,1,4,4,4,4,2,2,2,1,1,3,2,3,2,2,1,2,,
S1120V2213,ARJB,4,2,2,3,2,4,4,5,5,5,5,5,5,3,,3,4,3,2,1,,,,,,6,6,,
S1255V2451,ARJB,5,5,5,5,,,4,,4,,5,,5,5,5,5,4,3,2,3,5,4,3,2,2,,5,,
S1272V2489,ARJB,4,4,4,1,1,2,4,,3,,2,,3,3,4,4,5,3,2,1,4,5,3,3,1,4,4,,
S0570V0973,ARJB,4,5,5,4,2,2,4,4,4,5,5,3,3,3,3,4,4,3,1,1,,,,,,5,5,,
S0592V1023,ARJB,5,4,5,1,1,1,2,,3,,1,,1,4,5,4,2,3,2,1,4,2,2,2,1,,3,,
S0708V1399,ARJB,5,5,5,2,5,4,2,5,5,3,3,3,3,3,4,2,1,2,2,1,2,1,2,3,1,,4,,
S0702V1387,ARJB,,2,2,3,3,3,4,1,,2,,4,,3,2,3,4,1,2,1,4,4,3,2,1,,,,
S0786V1604,ARJB,5,5,5,2,1,,,5,5,5,5,5,5,4,5,3,2,1,2,2,,,,,,,,,
S0639V1247,ARJB,4,5,5,4,4,1,4,,,,,,,3,,3,2,2,2,3,,,,,,,,,
S1253V2442,ARJB,5,2,1,3,3,3,4,,,,,,,5,,4,4,3,1,2,,,,,,,,,
S1229V2406,ARJB,2,1,1,1,2,5,4,,,,,,,4,4,5,4,2,1,1,4,4,3,3,2,,,,
S1282V2498,ARJB,1,,1,1,1,3,4,,2,,2,,2,3,3,4,5,3,3,1,5,4,3,2,1,,4,,
S0921V1889,ARJB,4,4,4,3,4,4,4,4,4,4,4,3,3,3,3,2,3,3,2,1,3,4,3,3,1,5,4,,
S0554V0881,ARJB,5,5,5,,,,5,,3,,4,,1,5,5,5,4,3,2,2,3,3,1,2,2,,,,
S0520V0814,ARJB,1,3,3,1,1,1,4,2,2,2,2,2,2,4,3,4,4,3,2,1,4,4,3,2,1,3,3,,
S0360V0897,ARJB,5,5,5,4,4,4,3,4,,4,,3,,4,,4,4,3,3,1,,,,,,,,,
S0913V1860,ARJB,3,5,5,4,2,2,5,5,5,5,5,3,3,4,4,4,1,2,2,1,4,2,1,3,1,1,1,,
S0648V1259,ARJB,5,1,1,2,,,4,5,4,5,5,4,5,4,4,3,3,3,1,2,3,3,2,1,2,4,,,
S0917V1873,ARJB,4,5,4,2,2,4,2,3,4,3,3,5,5,3,3,5,3,3,2,2,4,4,3,2,2,4,4,,
S0725V1439,ARJB,3,5,4,2,2,3,4,4,,5,,5,,4,5,4,4,3,2,2,6,,,,,,,,
S0767V1547,ARJB,4,2,2,3,2,3,4,4,3,5,5,5,5,3,3,4,4,3,3,1,4,4,3,2,3,5,5,,
S0370V0492,ARJB,2,2,2,4,3,4,4,,,,,,,5,5,4,5,3,2,3,4,5,3,2,2,,,,
S0537V0868,ARJB,4,1,1,1,1,1,4,4,3,,5,,5,5,5,3,4,3,2,2,4,4,3,3,2,3,4,,
S0681V1339,ARJB,4,1,2,2,2,3,4,2,1,4,4,5,5,5,5,4,4,3,2,2,4,4,3,3,1,6,6,,
S0658V1291,ARJB,5,5,5,5,5,5,5,5,,5,,3,,5,,4,4,3,3,3,,,,,,4,,,
S0660V1299,ARJB,4,1,1,5,5,5,3,5,5,5,5,4,4,5,5,3,4,3,2,1,4,4,3,2,1,,5,,
S0929V1901,ARJB,5,4,4,5,4,5,5,5,,5,,5,,5,5,4,4,3,2,1,3,5,3,3,1,4,,,
S0719V1428,ARJB,,2,2,2,2,2,5,4,4,5,5,5,5,4,5,3,4,3,2,2,1,4,3,3,2,4,4,,
S0372V0470,ARJB,5,5,,,,,5,3,2,1,1,2,2,4,4,3,4,3,3,1,4,5,3,3,3,4,4,,
S0669V1318,ARJB,5,2,2,2,2,4,5,4,4,5,5,5,4,4,4,2,4,3,3,1,3,4,3,3,1,3,3,,
S0961V1967,ARJB,1,4,4,2,4,5,5,4,3,5,5,4,4,5,5,4,4,3,2,2,4,3,3,3,1,5,5,,
S1260V1277,ARJB,4,4,4,3,3,3,,3,,2,,1,,4,,4,4,3,2,3,,,,,,3,,,
S0723V1436,ARJB,2,4,4,2,2,4,4,5,5,3,3,3,3,5,5,4,3,3,2,1,3,3,3,2,1,4,4,,
S0529V0863,ARJB,4,4,4,5,5,5,4,2,1,5,5,5,5,5,4,4,4,3,3,2,2,4,3,3,3,,5,,
